sampleID	measurement1
5654_36656_0	79103446252.09389
5654_36656_1	78864058070.4331
5654_36656_2	77674863831.08919
5654_36656_3	77413381279.45306
5654_36656_4	75417951272.23668
5654_36656_5	80659555578.36012
5654_36656_6	82192773750.35406
5654_36656_7	81799528420.82072
5654_36656_8	81569479954.24715
5654_36656_9	86964535780.84177
5654_36656_10	87123598254.89145
5654_36656_11	86385363044.01392
5654_36656_12	89773692074.88419
5654_36656_13	86455654163.92531
5654_36656_14	94246533720.61319
5654_416304_15	76686405720.67216
5654_416304_16	77782244226.04802
5654_416304_17	74753400250.57402
5654_416304_18	76599768293.80252
5654_416304_19	79604201943.76372
5654_416304_20	79994460565.73459
5654_416304_21	80113900957.02261
5654_416304_22	83325175506.52245
5654_416304_23	84657013631.25552
5654_416304_24	86042731626.39035
5654_416304_25	82772790757.23659
5654_416304_26	89889789845.32121
5654_416304_27	91525197833.65656
5654_416304_28	94873189845.19781
5654_416304_29	94254858520.18071
5654_2369231_30	88247155056.29237
5654_2369231_31	80504610318.00844
5654_2369231_32	83648086438.08524
5654_2369231_33	81897447410.90077
5654_2369231_34	84032122627.332
5654_2369231_35	89215856008.80966
5654_2369231_36	85547776860.6171
5654_2369231_37	84958362473.92166
5654_2369231_38	84414206698.11203
5654_2369231_39	91114959939.6775
5654_2369231_40	90187437473.42722
5654_2369231_41	94076576000.24178
5654_2369231_42	95998762770.84631
5654_2369231_43	97024837475.1637
5654_2369231_44	91603607058.95622
5654_8982779_45	81295909890.59045
5654_8982779_46	82568907999.14255
5654_8982779_47	85389806471.83829
5654_8982779_48	87221029756.86243
5654_8982779_49	84970577493.61182
5654_8982779_50	85450959914.04875
5654_8982779_51	86493794366.04932
5654_8982779_52	87432174897.24957
5654_8982779_53	89380132887.35753
5654_8982779_54	88095005028.29514
5654_8982779_55	88747912682.27022
5654_8982779_56	86832873523.3176
5654_8982779_57	88238024101.3837
5654_8982779_58	91394089583.98561
5654_8982779_59	90678801231.6037
5654_10488077_60	76458230363.35706
5654_10488077_61	82035294227.21982
5654_10488077_62	81938275730.54602
5654_10488077_63	84863823342.7548
5654_10488077_64	84271123767.19733
5654_10488077_65	87375017370.12822
5654_10488077_66	84322799930.74754
5654_10488077_67	89342516251.06883
5654_10488077_68	90798088663.8985
5654_10488077_69	92075120395.90604
5654_10488077_70	87772045164.87317
5654_10488077_71	88918817694.7967
5654_10488077_72	94235527170.29651
5654_10488077_73	90772368079.36487
5654_10488077_74	89871966818.2001
